,OrderId,OrderDate,UserId,TotalCharges,CommonId,PupId,PickupDate
0,262,2009-01-11,47,50.67,TRQKD,2,2009-01-12
1,278,2009-01-20,47,26.6,4HH2S,3,2009-01-20
2,294,2009-02-03,47,38.71,3TRDC,2,2009-02-04
3,301,2009-02-06,47,53.38,NGAZJ,2,2009-02-09
4,302,2009-02-06,47,14.28,FFYHD,2,2009-02-09
5,321,2009-02-17,47,29.5,HA5R3,3,2009-02-17
6,333,2009-02-23,47,18.91,RSXQG,2,2009-02-23
7,341,2009-03-01,47,64.41,KHBDJ,3,2009-03-03
8,353,2009-03-09,47,18.03,T7SUN,3,2009-03-10
9,373,2009-03-17,47,25.55,KMF5X,3,2009-03-17
10,376,2009-03-17,47,13.64,R57V3,3,2009-03-19
11,386,2009-03-24,47,47.83,CSH73,3,2009-03-24
12,398,2009-03-31,47,42.14,3VYSW,3,2009-03-31
13,431,2009-04-14,47,21.73,XG5NT,3,2009-04-14
14,441,2009-04-16,47,21.73,JKME3,3,2009-04-16
15,467,2009-04-23,47,17.97,WVGR5,3,2009-04-23
16,493,2009-04-28,47,28.85,ARYQJ,3,2009-04-28
17,494,2009-04-28,47,7.15,QAM9C,3,2009-04-28
18,517,2009-05-01,47,57.75,CGHAJ,5,2009-05-01
19,525,2009-05-04,47,40.98,MCDJE,3,2009-05-05
20,567,2009-05-12,47,14.93,NPVQQ,3,2009-05-14
21,575,2009-05-14,47,14.32,2T727,3,2009-05-14
22,598,2009-05-19,47,40.76,ZNDAZ,3,2009-05-19
23,635,2009-05-26,47,83.41,V8TCD,3,2009-05-26
24,664,2009-06-01,47,47.39,N2MN4,3,2009-06-02
25,688,2009-06-05,47,16.76,SQ7AG,5,2009-06-05
26,720,2009-06-12,47,26.71,VVJMZ,3,2009-06-16
27,732,2009-06-16,47,18.66,NHPKJ,3,2009-06-16
28,775,2009-06-23,47,46.65,YGFQ6,4,2009-06-23
29,828,2009-07-02,47,20.27,XJMBR,6,2009-07-02
30,838,2009-07-06,47,44.88,J23JH,3,2009-07-07
31,848,2009-07-08,47,17.61,%%848,6,2009-07-09
32,878,2009-07-13,47,23.15,VLQ77,3,2009-07-14
33,916,2009-07-19,47,71.09,F72ZW,4,2009-07-21
34,947,2009-07-24,47,50.66,3TP9K,5,2009-07-24
35,978,2009-07-30,47,69.11,DBZ6E,4,2009-07-30
36,979,2009-07-30,47,41.0,58SYL,4,2009-07-30
37,1033,2009-08-10,47,51.42,CM6L8,4,2009-08-11
38,1034,2009-08-10,47,14.76,HVXWJ,4,2009-08-11
39,1037,2009-08-10,47,15.64,AEBZD,4,2009-08-11
40,1075,2009-08-18,47,12.9555,JHBNK,4,2009-08-18
41,1111,2009-08-25,47,50.29,2GGH5,4,2009-08-25
42,1112,2009-08-25,47,4.09,NLKBN,4,2009-08-25
43,1119,2009-08-25,47,3.08,9N4VG,4,2009-08-25
44,1152,2009-08-28,47,66.25,ZZU7D,5,2009-08-28
45,1154,2009-08-28,47,7.56,2JMWF,5,2009-08-28
46,1168,2009-09-02,47,70.1302,6NXDE,4,2009-09-03
47,1179,2009-09-03,47,12.27,6APEY,6,2009-09-03
48,1197,2009-09-07,47,106.89,AAN8Z,4,2009-09-08
49,1262,2009-09-17,47,92.51,4FMPS,5,2009-09-18
50,1279,2009-09-21,47,40.125,3VX2D,4,2009-09-24
51,1333,2009-09-29,47,61.74,CWNDD,4,2009-10-01
52,1363,2009-10-05,47,51.78,HR52A,4,2009-10-06
53,1400,2009-10-11,47,3.74,J3C69,3,2009-10-13
54,1466,2009-10-20,47,40.11,ND8EH,4,2009-10-20
55,1525,2009-10-26,47,45.4838,MG664,4,2009-10-27
56,1614,2009-11-05,47,41.78,BPM84,4,2009-11-05
57,1740,2009-11-12,47,23.1,C39Z5,4,2009-11-12
58,1803,2009-11-17,47,48.25,UX8D5,4,2009-11-18
59,1813,2009-11-18,47,5.0,AVRXH,4,2009-11-18
60,1888,2009-11-29,47,60.14,FVLDA,4,2009-11-30
61,1950,2009-12-06,47,70.72,5K5WS,4,2009-12-07
62,2049,2009-12-14,47,172.534,HRKLH,4,2009-12-15
63,2191,2010-01-03,47,62.3497,KWXTB,4,2010-01-04
64,2204,2010-01-04,47,18.39,W3T85,4,2010-01-04
65,2451,2010-01-24,47,52.0292,Y65RC,18,2010-01-25
66,2579,2010-01-31,47,47.6325,J5QKP,18,2010-02-01
67,2580,2010-01-31,47,23.629,GACF2,18,2010-02-01
68,2593,2010-02-01,47,6.638,PKE4X,18,2010-02-01
69,2873,2010-02-16,47,79.9095,G8QYA,9,2010-02-17
70,2953,2010-02-22,47,51.15,CC6TG,18,2010-02-22
71,2997,2010-02-23,47,27.97,ZCSXX,15,2010-02-26
72,3037,2010-02-25,47,15.5025,HG86F,15,2010-02-26
73,3082,2010-03-01,47,48.152,P98FG,18,2010-03-01
74,3109,2010-03-02,47,34.13,4PFP8,3,2010-03-02
75,3178,2010-03-05,47,7.22,GWR53,15,2010-03-05
76,360,2009-03-10,95,7.47,FTM95,3,2009-03-10
77,414,2009-04-07,95,3.68,ARQ3F,3,2009-04-09
78,292,2009-01-29,98,16.96,ZLNHR,3,2009-01-29
79,316,2009-02-16,98,6.74,GYTPJ,2,2009-02-16
80,344,2009-03-03,98,3.68,FUUH8,2,2009-03-04
81,375,2009-03-17,98,4.09,N88FP,3,2009-03-24
82,377,2009-03-18,98,3.59,C6T6S,3,2009-03-19
83,378,2009-03-18,98,3.59,E745K,3,2009-03-19
84,403,2009-04-01,98,2.03,SU6DX,3,2009-04-02
85,421,2009-04-10,98,3.59,X5ZJG,3,2009-04-16
86,422,2009-04-10,98,5.11,D2CJG,5,2009-04-17
87,527,2009-05-05,98,3.59,%%527,3,2009-05-05
88,276,2009-01-19,112,17.76,ALMYV,3,2009-01-20
89,1765,2009-11-13,141,30.87,Z8UXB,5,2009-11-13
90,2830,2010-02-14,147,23.26,P3TFZ,6,2010-02-18
91,2030,2009-12-13,160,37.46,83AUQ,4,2009-12-14
92,2284,2010-01-10,160,65.09,VRHJ2,4,2010-01-12
93,2724,2010-02-08,177,44.7928,AR6KK,7,2010-02-09
94,2742,2010-02-09,177,41.6928,K4XER,7,2010-02-09
95,603,2009-05-19,180,66.21,55HUW,4,2009-05-21
96,1276,2009-09-21,180,46.0502,SVJDZ,4,2009-09-22
97,285,2009-01-27,182,291.64,HJKAY,3,2009-01-27
98,2911,2010-02-18,182,390.0692,SX8NP,15,2010-02-19
99,2987,2010-02-22,182,79.4442,F95QZ,3,2010-02-23
100,3158,2010-03-04,182,260.122,KP8F9,15,2010-03-05
101,3219,2010-03-08,182,270.1352,NN5EG,15,2010-03-08
102,410,2009-04-07,200,29.8,EA2CB,3,2009-04-07
103,578,2009-05-14,200,6.26,RSXPW,3,2009-05-21
104,884,2009-07-13,200,2.24,QSVQH,3,2009-07-14
105,995,2009-08-02,200,13.67,Z5N3E,5,2009-08-07
106,1402,2009-10-12,200,13.58,8MNCV,3,2009-10-13
107,1454,2009-10-19,200,6.54,WPT5K,3,2009-10-20
108,2387,2010-01-18,200,7.443,AUXH3,15,2010-01-18
109,385,2009-03-22,202,101.83,GQ4BY,4,2009-03-24
110,416,2009-04-08,202,206.32,LEFC5,4,2009-04-09
111,504,2009-04-30,202,142.04,DYHKW,4,2009-04-30
112,526,2009-05-05,202,111.41,GF7X7,4,2009-05-05
113,561,2009-05-12,202,96.14,QMK96,4,2009-05-12
114,607,2009-05-20,202,162.41,D2FFR,4,2009-05-21
115,643,2009-05-27,202,144.73,Q7SX8,4,2009-05-28
116,673,2009-06-03,202,81.82,78V2J,4,2009-06-04
117,799,2009-06-29,202,208.52,GY9K5,4,2009-06-30
118,1041,2009-08-11,202,142.86,ZGVP3,4,2009-08-11
119,1085,2009-08-20,202,230.71,VN5CM,4,2009-08-20
120,1158,2009-09-01,202,164.3,FPWM2,4,2009-09-01
121,1205,2009-09-08,202,243.9302,5WDD3,4,2009-09-08
122,1425,2009-10-15,202,173.65,R5D99,4,2009-10-15
123,1457,2009-10-19,202,87.6505,QALA2,11,2009-10-21
124,1535,2009-10-27,202,206.29,4AKAR,11,2009-10-28
125,1600,2009-11-04,202,115.9505,JJMGA,11,2009-11-04
126,1689,2009-11-11,202,216.3905,J47X2,11,2009-11-11
127,1814,2009-11-18,202,158.94,U68KQ,11,2009-11-18
128,2496,2010-01-26,202,161.77,S9NWW,4,2010-01-26
129,265,2009-01-13,207,32.96,MZ562,3,2009-01-13
130,279,2009-01-20,207,24.24,UMUAD,3,2009-01-20
131,299,2009-02-05,207,22.6,LBM3R,3,2009-02-05
132,312,2009-02-12,207,55.4,S4LPV,3,2009-02-12
133,313,2009-02-12,207,3.02,69ZDJ,3,2009-02-12
134,326,2009-02-19,207,28.29,XVXS3,3,2009-02-19
135,327,2009-02-19,207,2.65,D8KLE,3,2009-02-19
136,328,2009-02-19,207,2.8,BJLRA,3,2009-02-19
137,338,2009-02-26,207,29.22,2HJA7,3,2009-02-26
138,339,2009-02-26,207,28.34,4P2HZ,3,2009-02-26
139,357,2009-03-10,207,17.81,L4RPU,4,2009-03-10
140,370,2009-03-17,207,45.3,NEMEB,4,2009-03-17
141,388,2009-03-24,207,39.3,Q2LQ7,4,2009-03-24
142,430,2009-04-14,207,14.42,TEHSY,4,2009-04-14
143,466,2009-04-23,207,28.17,9FYMW,4,2009-04-23
144,569,2009-05-14,207,38.95,C6428,4,2009-05-14
145,612,2009-05-21,207,31.77,7LEMS,4,2009-05-21
146,649,2009-05-28,207,34.24,JP57U,4,2009-05-28
147,676,2009-06-04,207,41.12,9EA7H,4,2009-06-04
148,707,2009-06-11,207,22.67,MHEMQ,4,2009-06-11
149,733,2009-06-16,207,46.38,U74LF,4,2009-06-16
150,783,2009-06-25,207,14.66,6Q7T3,4,2009-06-25
151,802,2009-06-30,207,9.25,BZZ3Z,4,2009-06-30
152,936,2009-07-23,207,29.41,BYNX4,4,2009-07-23
153,958,2009-07-27,207,30.6,QQFV6,4,2009-07-28
154,1043,2009-08-11,207,83.24,LNHHE,4,2009-08-11
155,1074,2009-08-18,207,57.41,2WE66,4,2009-08-18
156,1117,2009-08-25,207,75.6252,LXE87,4,2009-08-25
157,1174,2009-09-03,207,82.7055,2GYRW,4,2009-09-03
158,1245,2009-09-15,207,60.77,PWDKC,4,2009-09-15
159,1280,2009-09-22,207,55.27,D5AP2,4,2009-09-22
160,1378,2009-10-08,207,38.15,4RB2N,4,2009-10-08
161,1597,2009-11-03,207,58.52,MLWHL,4,2009-11-03
162,1661,2009-11-10,207,37.72,Z642W,4,2009-11-10
163,1905,2009-12-01,207,53.44,4AZMQ,4,2009-12-01
164,1992,2009-12-08,207,31.399,7XWFQ,4,2009-12-08
165,2057,2009-12-15,207,41.51,PSESN,4,2009-12-15
166,2107,2009-12-21,207,81.22,GLUH6,4,2009-12-22
167,2499,2010-01-26,207,76.44,8C37P,4,2010-01-26
168,2631,2010-02-02,207,72.0175,SZFQG,4,2010-02-03
169,2871,2010-02-16,207,71.8068,FD9LD,4,2010-02-17
170,2973,2010-02-22,207,22.98,QPDJP,4,2010-02-23
171,3049,2010-02-26,207,21.88,SAFUP,4,2010-02-26
172,3110,2010-03-02,207,64.94,AXV93,4,2010-03-02
173,3211,2010-03-08,207,57.05,DX6JP,4,2010-03-08
174,287,2009-01-28,225,16.99,TFCX6,3,2009-01-29
175,308,2009-02-10,230,16.66,GEM33,3,2009-02-10
176,348,2009-03-05,230,18.7,89WWL,4,2009-03-05
177,434,2009-04-14,230,21.34,H9545,3,2009-04-14
178,257,2009-01-06,253,57.51,6T3J5,3,2009-01-06
179,274,2009-01-15,253,64.83,GE3YZ,3,2009-01-15
180,277,2009-01-20,253,80.48,NNY5A,3,2009-01-20
181,283,2009-01-27,253,91.53,GHWB5,3,2009-01-27
182,293,2009-02-02,253,54.86,XAAX4,2,2009-02-02
183,295,2009-02-04,253,50.12,YNGMD,2,2009-02-04
184,309,2009-02-11,253,76.89,BADHL,2,2009-02-11
185,310,2009-02-11,253,18.75,T5Q4Y,2,2009-02-11
186,352,2009-03-09,253,93.34,TVFB2,4,2009-03-10
187,381,2009-03-19,253,88.84,U928K,4,2009-03-19
188,387,2009-03-24,253,83.93,WB4PC,4,2009-03-24
189,393,2009-03-26,253,21.29,NQDWX,4,2009-03-26
190,399,2009-03-31,253,72.7,FZ8JJ,4,2009-03-31
191,405,2009-04-02,253,47.92,QHZNE,3,2009-04-02
192,411,2009-04-07,253,115.56,RJRFJ,4,2009-04-07
193,419,2009-04-09,253,32.34,MFCUJ,3,2009-04-09
194,420,2009-04-09,253,5.45,QNYTH,3,2009-04-09
195,435,2009-04-14,253,67.21,8JT56,4,2009-04-14
196,439,2009-04-16,253,16.96,9DY9B,3,2009-04-16
197,468,2009-04-23,253,85.9,HD3G5,4,2009-04-23
198,499,2009-04-30,253,102.09,EJKBT,4,2009-04-30
199,528,2009-05-05,253,53.73,%%528,4,2009-05-05
200,533,2009-05-07,253,78.98,%%533,3,2009-05-07
201,563,2009-05-12,253,81.41,J2SPA,4,2009-05-12
202,606,2009-05-20,253,40.97,FT5V7,4,2009-05-21
203,613,2009-05-21,253,59.61,YWH23,4,2009-05-21
204,636,2009-05-26,253,104.19,Z4ARW,4,2009-05-26
205,680,2009-06-04,253,91.58,LHMJE,5,2009-06-05
206,681,2009-06-04,253,13.27,CJFXQ,5,2009-06-05
207,696,2009-06-09,253,25.33,49C7Q,3,2009-06-09
208,736,2009-06-16,253,141.65,FMXXY,4,2009-06-16
209,762,2009-06-19,253,38.99,ZVMV5,5,2009-06-19
210,785,2009-06-25,253,105.84,BRHGR,4,2009-06-25
211,791,2009-06-26,253,36.05,2J6HL,5,2009-06-26
212,826,2009-07-02,253,68.47,M7MKC,6,2009-07-02
213,844,2009-07-07,253,167.73,LDMDP,3,2009-07-07
214,896,2009-07-14,253,243.92,4TWU6,4,2009-07-14
